Name,A Red,A Green,A Blue,B Red,B Green,B Blue,Choice,Is Correct
NathanPhone,221,74,241,241,39,212,b,false
NathanPhone,10,14,19,1,55,50,a,true
NathanPhone,185,65,91,160,64,134,b,true
NathanPhone,6,79,236,15,113,223,a,true
NathanPhone,68,156,181,66,116,164,b,true
NathanPhone,184,223,74,146,219,38,a,false
NathanPhone,162,185,90,119,168,126,b,true
NathanPhone,179,234,164,207,255,202,b,false
NathanPhone,128,105,125,101,66,128,b,true
NathanPhone,17,170,12,37,164,0,b,false
NathanPhone,193,3,171,191,51,124,a,true
NathanPhone,53,7,18,65,14,1,b,false
NathanPhone,186,37,177,178,43,199,b,true
NathanPhone,33,247,247,0,234,253,a,true
NathanPhone,216,116,33,185,110,19,a,false
NathanPhone,94,23,128,136,69,100,b,true
NathanPhone,132,151,250,130,183,255,a,true
NathanPhone,232,5,81,217,0,117,a,true
NathanPhone,52,199,214,76,219,235,a,true
NathanPhone,254,131,149,239,92,141,a,true
NathanPhone,58,8,9,15,45,51,a,true
NathanPhone,118,20,164,113,0,134,a,true
NathanPhone,228,150,98,201,143,95,b,false
NathanPhone,8,71,17,20,29,57,a,true
NathanPhone,128,20,44,79,0,43,b,true
NathanPhone,39,174,63,21,222,65,a,true
NathanPhone,1,114,238,0,135,230,a,false
NathanPhone,171,97,161,218,68,153,b,true
NathanPhone,53,39,94,37,88,98,a,true
NathanPhone,66,176,126,83,144,86,b,true
NathanPhone,195,121,145,194,36,179,b,true
NathanPhone,95,118,97,178,78,62,b,true
NathanPhone,223,169,30,129,208,131,b,true
NathanPhone,48,180,192,0,79,163,a,true
NathanPhone,179,149,30,97,81,4,b,true
NathanPhone,3,50,29,36,0,32,a,true
NathanPhone,249,189,83,255,132,22,a,true
NathanPhone,173,87,39,252,0,125,a,true
NathanPhone,133,72,205,227,250,224,a,true
NathanPhone,11,39,199,0,0,255,b,true
NathanPhone,107,93,96,0,255,216,b,true
NathanPhone,227,201,177,13,244,17,a,true
NathanPhone,21,89,56,228,255,38,b,true
NathanPhone,197,177,181,139,143,255,a,true
NathanPhone,94,72,124,255,0,140,a,true
NathanPhone,22,31,93,0,0,168,a,true
NathanPhone,162,13,24,0,0,1,b,true
NathanPhone,119,226,113,162,0,146,b,true
NathanPhone,14,183,110,213,91,239,b,true
NathanPhone,158,154,85,234,135,52,b,true
NathanPhone,122,36,22,185,255,0,a,true
NathanPhone,131,18,121,0,0,255,b,true
NathanPhone,16,70,50,0,252,128,b,true
NathanPhone,203,89,171,255,174,255,b,true
NathanPhone,178,202,107,117,241,210,a,true
NathanPhone,235,129,213,255,255,255,b,true
NathanPhone,248,232,235,98,255,87,b,true
NathanPhone,66,55,10,0,0,117,a,true
NathanPhone,112,136,124,142,0,255,a,true
NathanPhone,132,132,171,9,0,103,a,true
NathanPhone,254,120,180,255,22,124,a,true
NathanPhone,198,13,8,0,0,188,a,true
NathanPhone,29,246,105,0,10,215,b,true
NathanPhone,51,4,89,0,0,207,b,true
NathanPhone,236,148,232,255,229,255,a,true
NathanPhone,162,115,219,176,255,119,a,true
NathanPhone,239,143,25,255,255,0,b,true
NathanPhone,141,6,107,74,0,0,b,true
NathanPhone,148,36,56,0,0,88,b,true
NathanPhone,15,120,57,0,255,0,a,true
NathanPhone,116,20,77,144,255,179,b,true
NathanPhone,153,137,163,82,95,241,a,true
NathanPhone,105,177,251,255,255,255,b,true
NathanPhone,15,66,92,36,134,125,a,true
NathanPhone,111,175,250,5,255,255,a,true
NathanPhone,131,34,205,202,255,255,a,true
NathanPhone,114,41,183,0,0,156,a,true
NathanPhone,255,81,190,94,96,255,a,true
NathanPhone,254,65,54,159,0,132,b,true
NathanPhone,126,74,87,30,0,255,a,true
NathanPhone,134,161,83,212,10,0,b,true
NathanPhone,242,239,113,255,255,255,a,true
NathanPhone,157,7,116,202,106,255,b,true
NathanPhone,242,100,94,116,131,219,a,true
NathanPhone,66,121,69,40,90,0,b,true
NathanPhone,192,7,28,255,221,0,b,true
NathanPhone,202,169,45,255,0,255,b,true
NathanPhone,0,185,242,0,255,73,a,true
NathanPhone,64,28,106,186,53,7,b,true
NathanPhone,155,248,142,197,166,93,b,true
NathanPhone,228,55,4,121,66,0,a,true
NathanPhone,37,74,13,37,0,81,a,true
NathanPhone,6,11,142,93,113,36,a,true
NathanPhone,164,215,135,255,255,95,b,false
NathanPhone,186,16,31,185,21,55,b,true
NathanPhone,254,160,113,255,179,130,b,true
NathanPhone,83,213,82,72,222,106,b,true
NathanPhone,35,157,140,19,155,156,b,true
NathanPhone,187,203,40,207,211,33,b,true
NathanPhone,232,254,233,224,255,233,b,false
NathanPhone,40,49,33,17,24,54,a,true
NathanPhone,212,125,114,186,140,120,a,true
NathanPhone,130,28,23,112,51,17,a,true
NathanPhone,230,157,235,246,163,212,a,true
NathanPhone,11,76,137,11,86,128,a,true
NathanPhone,182,226,176,184,220,166,b,true
NathanPhone,143,235,77,141,255,61,b,false
NathanPhone,191,65,59,193,56,46,b,true
NathanPhone,122,125,67,96,129,80,b,true
NathanPhone,155,14,173,135,1,160,b,false
NathanPhone,67,209,16,86,218,7,a,false
NathanPhone,90,1,218,71,0,224,a,true
NathanPhone,88,119,163,64,121,174,b,true
NathanPhone,12,98,27,21,73,4,b,false
NathanPhone,220,118,90,242,92,105,b,true
NathanPhone,209,254,149,213,255,127,b,true
Nux,165,37,22,0,29,34,b,true
Nux,93,126,59,0,236,192,b,true
Nux,240,32,210,118,253,255,b,true
Nux,158,114,225,228,192,63,a,true
Nux,2,235,203,37,17,255,b,true
Nux,59,197,210,255,219,0,b,true
Nux,4,205,95,0,255,210,b,true
Nux,129,149,226,168,255,7,b,true
Nux,161,145,93,98,0,0,a,true
Nux,185,34,193,255,51,255,b,true
Nux,89,233,54,0,0,0,a,true
Nux,36,228,21,0,110,125,b,true
Nux,214,29,108,255,104,0,b,true
Nux,117,235,108,58,197,176,a,true
Nux,120,163,171,255,255,58,a,true
Nux,29,201,75,0,213,0,a,false
Nux,181,76,196,223,240,150,a,true
Nux,215,50,184,255,128,0,a,true
Nux,57,248,255,45,40,254,b,true
Nux,157,98,81,124,160,91,a,true
Nux,144,143,210,121,223,73,b,true
Nux,89,160,71,0,0,36,a,true
Nux,37,202,210,12,103,20,a,true
Nux,54,22,134,202,0,38,a,true
Nux,105,253,186,255,183,248,a,true
NathanPhone,176,207,226,179,255,255,b,true
NathanPhone,234,118,77,255,218,119,b,true
NathanPhone,91,25,10,180,92,0,a,true
NathanPhone,66,116,219,116,184,201,b,true
NathanPhone,32,74,155,96,78,227,b,true
NathanPhone,205,121,160,79,218,69,a,true
NathanPhone,51,37,65,101,145,144,a,true
NathanPhone,53,222,86,14,255,62,b,true
NathanPhone,88,74,29,64,49,55,b,true
NathanPhone,106,155,243,0,201,255,a,true
NathanPhone,97,144,175,184,155,255,a,true
NathanPhone,195,106,32,255,197,0,b,true
NathanPhone,2,113,43,0,119,0,a,true
NathanPhone,78,158,7,117,150,89,b,true
NathanPhone,250,240,61,255,125,0,b,true
NathanPhone,29,8,131,0,0,71,b,true
NathanPhone,232,176,152,255,218,121,b,true
NathanPhone,123,250,193,247,173,124,b,true
NathanPhone,245,239,228,240,219,255,b,true
NathanPhone,174,69,231,82,89,252,a,true
NathanPhone,133,239,160,236,215,255,a,true
NathanPhone,17,65,218,34,85,110,b,true
NathanPhone,86,154,89,86,102,126,a,true
NathanPhone,102,161,76,0,171,103,b,true
NathanPhone,157,167,214,247,255,210,b,true
NathanPhone,46,58,134,108,56,242,b,true
NathanPhone,98,3,124,173,0,0,b,true
NathanPhone,3,161,126,0,226,171,b,true
NathanPhone,187,148,156,104,229,248,a,true
NathanPhone,251,130,247,178,7,255,a,true
NathanPhone,128,97,55,129,64,0,a,true
NathanPhone,234,83,209,216,163,162,b,true
NathanPhone,94,171,103,14,52,155,a,true
NathanPhone,55,130,61,55,139,157,a,true
NathanPhone,99,184,2,0,255,0,b,true
NathanPhone,213,213,36,255,247,0,a,true
NathanPhone,223,49,152,216,44,179,b,true
NathanPhone,89,45,225,92,38,100,b,true
NathanPhone,238,249,75,129,171,0,a,true
NathanPhone,128,41,103,166,114,108,b,true
