Name,A Red,A Green,A Blue,B Red,B Green,B Blue,Choice,Is Correct
NathanPhone,39,120,141,7,19,167,a,true
NathanPhone,209,167,240,206,112,181,a,true
NathanPhone,198,127,69,135,78,50,a,true
NathanPhone,106,182,140,127,116,195,a,true
NathanPhone,66,108,40,118,199,107,b,true
NathanPhone,115,65,35,185,208,3,a,true
NathanPhone,180,51,166,146,238,240,a,true
NathanPhone,161,83,246,72,241,136,a,true
NathanPhone,227,199,136,254,7,241,b,true
NathanPhone,169,8,141,134,60,102,b,true
NathanPhone,107,74,172,166,43,221,a,true
NathanPhone,71,172,148,130,110,118,a,true
NathanPhone,80,96,70,0,170,116,a,true
NathanPhone,145,234,150,226,236,78,a,true
NathanPhone,86,167,153,21,121,96,b,true
NathanPhone,61,236,90,126,224,174,b,true
NathanPhone,108,114,99,34,137,122,b,true
NathanPhone,104,106,83,124,41,137,a,true
NathanPhone,213,4,106,169,6,183,b,true
NathanPhone,134,19,234,129,51,142,b,true
NathanPhone,9,149,150,4,199,244,b,true
NathanPhone,133,167,97,145,240,128,a,true
NathanPhone,90,27,70,54,0,142,a,true
NathanPhone,89,51,221,12,60,167,b,true
NathanPhone,129,71,194,175,15,124,a,true
NathanPhone,9,208,181,103,236,140,b,true
NathanPhone,123,21,229,97,78,186,b,true
NathanPhone,81,0,122,13,33,89,b,true
NathanPhone,130,60,186,138,132,134,a,true
NathanPhone,22,81,100,33,147,23,a,true
NathanPhone,20,186,80,23,84,110,a,true
NathanPhone,125,81,190,124,27,245,b,true
NathanPhone,67,77,91,45,32,161,b,true
NathanPhone,103,16,111,50,42,181,b,true
NathanPhone,192,95,92,251,117,170,b,true
NathanPhone,98,153,72,41,217,3,a,true
NathanPhone,40,87,87,28,13,84,b,true
NathanPhone,97,18,28,25,56,25,b,true
NathanPhone,109,89,94,34,53,134,a,true
NathanPhone,218,19,138,175,21,51,a,true
NathanPhone,194,45,122,102,72,161,a,true
NathanPhone,225,174,6,222,181,85,a,true
NathanPhone,104,154,137,147,108,79,a,true
NathanPhone,34,168,233,54,217,162,b,true
NathanPhone,99,231,24,116,136,54,a,true
NathanPhone,100,10,209,65,92,151,a,true
NathanPhone,106,38,76,120,70,19,b,true
NathanPhone,63,146,96,49,128,25,b,true
NathanPhone,94,221,37,146,160,69,a,true
NathanPhone,11,15,217,12,9,126,b,true
NathanPhone,171,214,147,95,179,96,a,false
NathanPhone,169,84,181,108,33,252,a,true
NathanPhone,200,200,168,197,208,160,a,true
NathanPhone,64,15,173,52,12,190,b,true
NathanPhone,29,48,88,39,79,30,a,true
NathanPhone,217,138,65,187,204,78,a,true
NathanPhone,91,8,186,128,66,137,a,true
NathanPhone,79,127,12,59,95,92,a,true
NathanPhone,128,203,219,145,199,123,a,true
NathanPhone,88,114,197,25,38,229,b,true
NathanPhone,100,6,167,102,6,165,a,true
NathanPhone,138,213,246,143,224,243,b,true
NathanPhone,96,152,240,104,146,222,b,true
NathanPhone,43,59,219,111,36,213,b,true
NathanPhone,50,164,182,2,221,160,a,true
NathanPhone,205,122,52,144,179,74,a,true
NathanPhone,95,128,50,169,71,30,b,true
NathanPhone,146,181,47,182,243,117,a,true
NathanPhone,103,138,187,146,215,252,b,true
NathanPhone,231,78,65,232,78,67,b,false
NathanPhone,10,82,189,22,77,183,a,true
NathanPhone,190,175,151,184,179,171,b,true
NathanPhone,21,48,177,8,119,163,a,true
NathanPhone,36,199,52,86,142,70,b,true
NathanPhone,154,101,106,209,36,122,b,true
NathanPhone,76,24,151,75,109,126,b,true
NathanPhone,171,137,107,194,141,202,b,true
NathanPhpne,155,88,127,161,177,185,b,true
NathanPhpne,124,28,38,123,31,34,b,true
NathanPhpne,66,3,134,63,9,140,a,true
NathanPhpne,44,33,37,58,23,30,b,true
NathanPhpne,184,231,172,149,199,122,b,true
NathanPhpne,25,15,99,35,4,174,a,true
NathanPhpne,115,158,113,180,183,156,a,true
NathanPhpne,134,115,25,147,203,24,a,true
NathanPhpne,35,196,250,53,183,156,b,true
NathanPhpne,119,239,170,205,183,182,a,true
NathanPhpne,231,1,48,237,2,49,b,false
NathanPhpne,10,253,114,18,247,120,b,true
NathanPhpne,88,154,247,104,142,245,b,true
NathanPhpne,99,97,210,121,41,169,a,true
NathanPhpne,20,127,82,1,198,67,b,true
NathanPhone,91,1,14,57,67,56,a,true
NathanPhone,11,228,75,6,144,30,b,true
NathanPhone,123,115,228,152,31,178,a,true
NathanPhone,163,136,228,135,208,159,b,true
NathanPhone,59,180,9,59,186,5,b,true
NathanPhone,141,15,173,132,21,180,b,true
NathanPhone,247,83,227,246,99,227,b,true
NathanPhone,253,229,80,252,188,135,a,true
NathanPhone,67,99,66,15,62,106,a,true
NathanPhone,147,248,58,154,169,24,b,true
NathanPhone,43,108,193,34,18,212,a,true
NathanPhone,245,24,102,200,50,18,b,true
NathanPhone,210,144,223,118,106,180,a,true
NathanPhone,91,167,122,91,162,121,b,true
NathanPhone,48,122,90,44,116,86,a,true
NathanPhone,14,237,161,10,224,177,a,true
NathanPhone,189,210,200,156,197,138,a,true
NathanPhone,44,191,110,45,194,108,b,false
NathanPhone,242,240,145,232,239,138,b,true
NathanPhone,4,196,22,12,179,18,a,false
NathanPhone,95,64,42,95,66,41,a,false
NathanPhone,123,238,230,115,235,232,b,true
NathanPhone,96,137,109,75,135,114,b,false
NathanPhone,226,71,4,228,71,2,a,true
NathanPhone,199,151,45,205,156,48,b,false
NathanPhone,185,182,17,193,166,21,b,true
NathanPhone,235,101,247,235,100,247,a,true
NathanPhone,158,101,149,161,87,148,a,false
NathanPhone,108,167,248,122,155,254,b,false
NathanPhone,255,102,14,254,103,14,a,false
NathanPhone,87,177,132,81,166,134,b,true
NathanPhone,227,175,115,242,179,124,b,false
NathanPhone,21,200,219,19,202,221,b,true
NathanPhone,172,32,235,163,31,235,a,false
NathanPhone,42,4,56,39,18,49,b,false
NathanPhone,83,74,90,81,71,90,b,false
NathanPhone,102,154,208,102,153,208,b,false
NathanPhone,151,229,26,142,228,19,a,false
NathanPhone,49,190,194,42,190,176,b,true
NathanPhone,210,77,234,225,61,227,a,false
NathanPhone,28,127,73,10,141,48,b,true
NathanPhone,13,40,246,0,4,234,b,true
NathanPhone,36,33,30,35,33,28,a,false
NathanPhone,69,216,100,59,226,100,b,false
NathanPhone,179,160,3,191,169,9,b,true
NathanPhone,179,21,97,204,15,101,a,true
NathanPhone,218,76,227,228,94,252,b,true
NathanPhone,33,29,194,9,65,195,b,true
Nathan,9,170,102,8,170,101,b,true
Nathan,172,121,80,172,122,79,b,false
Nathan,251,229,54,250,229,54,b,false
Nathan,118,178,172,115,179,170,b,false
Nathan,181,84,186,188,83,185,b,true
Nathan,237,16,226,231,17,228,a,true
Nathan,122,70,202,122,70,202,a,true
Nathan,116,32,32,116,32,32,a,true
Nathan,39,33,9,38,28,6,a,false
Nathan,69,231,53,63,228,52,a,true
